[19 Sep 16:44:35] Logged in, [Character: Dafny[268476745] - Account: dex - IP: 127.0.0.1]
[19 Sep 16:49:54] Logged out, Player:Dafny[268476745]
[19 Sep 16:50:23] Logged in, [Character: Dafny[268476745] - Account: dex - IP: 127.0.0.1]
[19 Sep 17:07:32] Logged out, Player:Dafny[268476745]
[19 Sep 17:08:01] Logged in, [Character: Dafny[268476745] - Account: dex - IP: 127.0.0.1]
[19 Sep 17:18:39] Logged out, Player:Rharimeth[268477072]
[19 Sep 17:18:39] Logged out, Player:Belmir[268476902]
[19 Sep 17:18:40] Logged out, Player:Dafny[268476745]
[19 Sep 17:18:40] Logged out, Player:Ullanras[268476955]
[19 Sep 17:18:40] Logged out, Player:Dradorzar[268477035]
[19 Sep 17:18:40] Logged out, Player:Pyrizar[268477051]
[19 Sep 17:18:40] Logged out, Player:Gorudil[268476974]
[19 Sep 17:18:40] Logged out, Player:Rhaithis[268477087]
[19 Sep 17:19:02] Logged in, [Character: Dafny[268476745] - Account: dex - IP: 127.0.0.1]
[19 Sep 17:34:48] Logged out, Player:Sylel[268475776]
[19 Sep 17:34:48] Logged out, Player:Mortha[268475777]
[19 Sep 17:34:48] Logged out, Player:Belitha[268477350]
[19 Sep 17:34:49] Logged out, Player:Dafny[268476745]
[19 Sep 17:34:49] Logged out, Player:Kelor[268477198]
[19 Sep 17:34:49] Logged out, Player:Nyxethwyn[268477375]
[19 Sep 17:35:42] Logged in, [Character: Dafny[268476745] - Account: dex - IP: 127.0.0.1]
[19 Sep 17:36:06] Logged out, Player:Valente[268476979]
[19 Sep 17:36:06] Created new character, Player:Valente[268476979], [Account: wars182 - IP: 100.113.109.18]
[19 Sep 17:36:08] Logged in, [Character: Valente[268476979] - Account: wars182 - IP: 100.113.109.18]
[19 Sep 17:54:55] Logged out, Player:Dafny[268476745]
[19 Sep 17:54:56] Logged in, [Character: Dafny[268476745] - Account: dex - IP: 127.0.0.1]
[19 Sep 18:03:20] Logged out, Player:Valente[268476979]
[19 Sep 18:03:20] Logged out, Player:Dafny[268476745]
[19 Sep 18:03:48] Logged in, [Character: Dafny[268476745] - Account: dex - IP: 127.0.0.1]
[19 Sep 18:04:34] Logged out, Player:Dafny[268476745]
[19 Sep 18:04:53] Logged in, [Character: Dafny[268476745] - Account: dex - IP: 127.0.0.1]
[19 Sep 18:06:15] Logged in, [Character: Valente[268476979] - Account: wars182 - IP: 100.113.109.18]
[19 Sep 18:48:30] Logged in, [Character: Valente[268476979] - Account: wars182 - IP: 100.113.109.18]
[19 Sep 18:50:47] Logged in, [Character: Dafny[268476745] - Account: dex - IP: 127.0.0.1]
[19 Sep 19:07:09] Logged out, Player:Dafny[268476745]
[19 Sep 19:10:08] Logged in, [Character: Dafny[268476745] - Account: dex - IP: 127.0.0.1]
[19 Sep 19:17:53] Logged out, Player:Dafny[268476745]
[19 Sep 19:19:10] Logged out, Player:Valente[268476979]
[19 Sep 19:19:10] Logged out, Player:Zephnor[268478197]
[19 Sep 19:19:10] Logged out, Player:Vaearnor[268478090]
[19 Sep 19:19:10] Logged out, Player:Iththa[268478379]
[19 Sep 19:19:10] Logged out, Player:Cadois[268478317]
[19 Sep 19:19:49] Logged in, [Character: Dafny[268476745] - Account: dex - IP: 127.0.0.1]
[19 Sep 19:20:13] Logged in, [Character: Valente[268476979] - Account: wars182 - IP: 100.113.109.18]
[19 Sep 19:21:48] Logged out, Player:Dafny[268476745]
[19 Sep 19:22:08] Logged in, [Character: Dafny[268476745] - Account: dex - IP: 127.0.0.1]
[19 Sep 19:27:32] Logged out, Player:Dûnarras[268477136]
[19 Sep 19:27:32] Logged out, Player:Ulvenwen[268477153]
[19 Sep 19:27:32] Logged out, Player:Valente[268476979]
[19 Sep 19:27:32] Logged out, Player:Sylrimus[268476996]
[19 Sep 19:27:32] Logged out, Player:Coruel[268477030]
[19 Sep 19:27:32] Logged out, Player:Dafny[268476745]
[19 Sep 19:27:32] Logged out, Player:Jorrimtha[268477066]
[19 Sep 19:27:32] Logged out, Player:Pyrerok[268477083]
[19 Sep 19:28:05] Logged in, [Character: Valente[268476979] - Account: wars182 - IP: 100.113.109.18]
[19 Sep 19:28:45] Logged out, Player:Valente[268476979]
[19 Sep 19:29:06] Logged in, [Character: Dafny[268476745] - Account: dex - IP: 127.0.0.1]
[19 Sep 19:29:43] Logged in, [Character: Valente[268476979] - Account: wars182 - IP: 100.113.109.18]
[19 Sep 20:16:07] Logged out, Player:Valente[268476979]
[19 Sep 20:16:07] Logged out, Player:Zephielus[268478568]
[19 Sep 20:16:07] Logged out, Player:Dafny[268476745]
[19 Sep 20:16:07] Logged out, Player:Quoraeleth[268478670]
[19 Sep 20:16:31] Logged in, [Character: Dafny[268476745] - Account: dex - IP: 127.0.0.1]
[19 Sep 20:18:05] Logged in, [Character: Valente[268476979] - Account: wars182 - IP: 100.113.109.18]
[19 Sep 20:19:18] Logged out, Player:Nyxan[268477377]
[19 Sep 20:19:18] Logged out, Player:Valente[268476979]
[19 Sep 20:19:18] Logged out, Player:Aelyr[268477333]
[19 Sep 20:19:18] Logged out, Player:Goreeth[268477397]
[19 Sep 20:19:18] Logged out, Player:Sylondnor[268477413]
[19 Sep 20:19:18] Logged out, Player:Dafny[268476745]
